Location;Province;Genus;species/clone;type of sample;Asymptomatic/diseased;Nursery/Field;Roots;Root Collar;Stem;Growth tip;Needles/Leaves;results
Jessievale;;Pinus?;;Seedlings/Cuttings;D;N;;Well developed;Healthy;Healthy;;Fusarium sp. screening
Jessievale;;Pinus?;;Seedlings/Cuttings;D;N;;Well developed, J-rooting;Healthy;Healthy;;Fusarium sp. screening
Jessievale;;Pinus?;;Seedlings/Cuttings;D;N;;Well developed, J-rooting;Healthy;Healthy;;Fusarium sp. screening
Jessievale;;Pinus?;;Seedlings/Cuttings;D;N;;Well developed, J-rooting;Healthy;Healthy;;Fusarium sp. screening
Jessievale;;Pinus?;;Seedlings/Cuttings;D;N;;Well developed, J-rooting;Healthy;Healthy;;Fusarium sp. screening
Jessievale;;Pinus?;;Seedlings/Cuttings;D;N;;Well developed, Healthy;Healthy;Healthy;;Fusarium sp. screening
Jessievale;;Pinus?;;Seedlings/Cuttings;D;N;;Well developed, Healthy;Healthy;Healthy;;Fusarium sp. screening
Jessievale;;Pinus?;;Seedlings/Cuttings;D;N;;Well developed, Healthy;Healthy;Healthy;;Fusarium sp. screening
Jessievale;;Pinus?;;Seedlings/Cuttings;D;N;;Well developed, Healthy;Healthy;Healthy;;Fusarium sp. screening
Howick;Kwazulu-Natal;Pinus;patula;Seedlings/Cuttings;D;N;;Well developed, J-rooting, Dead;Discoloraiton, Sapwood;Discoloraiton, Cambium;Wilted;Fusarium sp. screening
Howick;Kwazulu-Natal;Pinus;patula;Seedlings/Cuttings;D;N;;Well developed, Dead;Discoloraiton, Sapwood;Healthy;Wilted;Fusarium sp. screening
Howick;Kwazulu-Natal;Pinus;patula;Seedlings/Cuttings;D;N;;Well developed, Dead;Discoloraiton;Healthy;Wilted;Fusarium sp. screening
Howick;Kwazulu-Natal;Pinus;patula;Seedlings/Cuttings;D;N;;Few roots, Dead;Discoloraiton, Sapwood;Healthy;;Fusarium sp. screening
Howick;Kwazulu-Natal;Pinus;patula;Seedlings/Cuttings;D;N;;Well developed, Dead;Discoloraiton, Sapwood;Healthy;Alive;Fusarium sp. screening
Howick;Kwazulu-Natal;Pinus;patula;Seedlings/Cuttings;D;N;;Well developed, Dead;Discoloraiton, Sapwood;Healthy;Alive;Fusarium sp. screening
Howick;Kwazulu-Natal;Pinus;patula;Seedlings/Cuttings;D;N;;Well developed, Dead;Discoloraiton, Sapwood;Healthy;Wilted;Fusarium sp. screening
Howick;Kwazulu-Natal;Pinus;patula;Seedlings/Cuttings;D;N;;Well developed, Dead;Discoloraiton, Sapwood;Healthy;Wilted;Fusarium sp. screening
Howick;Kwazulu-Natal;Pinus;patula;Seedlings/Cuttings;D;N;;Well developed, Dead;Discoloraiton, Sapwood;Discoloraiton, Sapwood, Cambium;Wilted;Fusarium sp. screening
Howick;Kwazulu-Natal;Pinus;patula;Seedlings/Cuttings;D;N;;Well developed, Dead;Discoloraiton, Sapwood;Healthy, Discoloraiton, Sapwood;Wilted;Fusarium sp. screening
Howick;Kwazulu-Natal;Pinus;patula;Seedlings/Cuttings;D;N;;Well developed, J-rooting;Discoloraiton, Sapwood;Discoloraiton, Cambium;Wilted;Fusarium sp. screening
Pinewoods;;Pinus;patula;Leaves/Needles, Twigs/Branches;D;N;;J-rooting, Dead, Plug bound;Discoloration, Sapwood;Alive, Wilted;;Fusarium sp. screening
Pinewoods;;Pinus;patula;Leaves/Needles, Twigs/Branches;D;N;;J-rooting, Dead, Plug bound;Discoloration, Sapwood;Alive, Wilted;;Fusarium sp. screening
Ndubazi;;Euclayptus;nitens;Leaves/Needles, Twigs/Branches;D;N;;;;Sapwood, Between outer and inner bark;Alive;Fusarium sp. screening
Ndubazi;;Euclayptus;nitens;Leaves/Needles, Twigs/Branches;D;N;;;;Discoloration, Sapwood, Between outer and inner bark;Alive;Fusarium sp. screening
Ndubazi;;Euclayptus;nitens;Leaves/Needles, Twigs/Branches;D;N;;;;Discoloration, Sapwood, Between outer and inner bark;Alive;Fusarium sp. screening
Ndubazi;;Euclayptus;nitens;Leaves/Needles, Twigs/Branches;D;N;;;;Sapwood, Between outer and inner bark;Alive;Fusarium sp. screening
Ndubazi;;Euclayptus;nitens;Leaves/Needles, Twigs/Branches;D;N;;;;Discoloration, Outer bark, Sapwood, Between outer and inner bark;Alive;Fusarium sp. screening
Brian Law;;Pinus;;Seedlings/Cuttings;D;N;;Well developed, Healthy;Healthy, Discoloration, Outer bark, Cambium, Between outer and inner bark, Sapwood;Healthy, Discoloration, Outer bark, Cambium, Between outer and inner bark, Sapwood;Alive;Fusarium sp. screening
Brian Law;;Pinus;;Seedlings/Cuttings;D;N;;Well developed, Healthy;Healthy, Discoloration, Outer bark, Cambium, Between outer and inner bark, Sapwood;Healthy, Discoloration, Outer bark, Cambium, Between outer and inner bark, Sapwood;Alive;Fusarium sp. screening
Brian Law;;Pinus;;Seedlings/Cuttings;D;N;;Well developed, Healthy;Healthy, Discoloration, Outer bark, Cambium, Between outer and inner bark, Sapwood;Healthy, Discoloration, Outer bark, Cambium, Between outer and inner bark, Sapwood;Alive;Fusarium sp. screening
Brian Law;;Pinus;;Seedlings/Cuttings;D;N;;Well developed, Healthy;Healthy, Discoloration, Outer bark, Cambium, Between outer and inner bark, Sapwood;Healthy, Discoloration, Outer bark, Cambium, Between outer and inner bark, Sapwood;Alive;Fusarium sp. screening
Brian Law;;Pinus;;Seedlings/Cuttings;D;N;;Well developed, Healthy;Healthy, Discoloration, Outer bark, Cambium, Between outer and inner bark, Sapwood;Healthy, Discoloration, Outer bark, Cambium, Between outer and inner bark, Sapwood;Alive;Fusarium sp. screening
Brian Law;;Pinus;;Seedlings/Cuttings;D;N;;Well developed, Healthy;Healthy, Discoloration, Outer bark, Cambium, Between outer and inner bark, Sapwood;Healthy, Discoloration, Outer bark, Cambium, Between outer and inner bark, Sapwood;Alive;Fusarium sp. screening
Brian Law;;Pinus;;Seedlings/Cuttings;D;N;;Well developed, Healthy;Healthy, Discoloration, Outer bark, Cambium, Between outer and inner bark, Sapwood;Healthy, Discoloration, Outer bark, Cambium, Between outer and inner bark, Sapwood;Alive;Fusarium sp. screening
Brian Law;;Pinus;;Seedlings/Cuttings;D;N;;Well developed, Healthy;Healthy, Discoloration, Outer bark, Cambium, Between outer and inner bark, Sapwood;Healthy, Discoloration, Outer bark, Cambium, Between outer and inner bark, Sapwood;Alive;Fusarium sp. screening
Brian Law;;Pinus;;Seedlings/Cuttings;D;N;;Well developed, Healthy;Healthy, Discoloration, Outer bark, Cambium, Between outer and inner bark, Sapwood;Healthy, Discoloration, Outer bark, Cambium, Between outer and inner bark, Sapwood;Alive;Fusarium sp. screening
Brian Law;;Pinus;;Seedlings/Cuttings;D;N;;Well developed, Healthy;Healthy, Discoloration, Outer bark, Cambium, Between outer and inner bark, Sapwood;Healthy, Discoloration, Outer bark, Cambium, Between outer and inner bark, Sapwood;Alive;Fusarium sp. screening
Elandshoogte Healthy;;Pinus;;Seedlings/Cuttings;D;N;;Well developed, Healthy;Healthy;Healthy;Discoloration, Alive;Fusarium sp. screening
Elandshoogte Healthy;;Pinus;;Seedlings/Cuttings;D;N;;;Discoloration;Discoloration;Discoloration;Fusarium sp. screening
Elandshoogte Healthy;;Pinus;;Seedlings/Cuttings;D;N;;Well developed;Healthy;Discoloration;Discoloration;Fusarium sp. screening
Elandshoogte Healthy;;Pinus;;Seedlings/Cuttings;D;N;;Few roots;Healthy;Healthy;Discoloration;Fusarium sp. screening
Elandshoogte Healthy;;Pinus;;Seedlings/Cuttings;D;N;;Few roots;Healthy;Healthy;Discoloration, Alive;Fusarium sp. screening
Elandshoogte Healthy;;Pinus;;Seedlings/Cuttings;D;N;;Few roots;Healthy;Discoloration;Discoloration;Fusarium sp. screening
Elandshoogte Healthy;;Pinus;;Seedlings/Cuttings;D;N;;Well developed, Healthy;Healthy;Healthy;Discoloration, Alive;Fusarium sp. screening
Elandshoogte Healthy;;Pinus;;Seedlings/Cuttings;D;N;;Well developed, Healthy;Healthy;Discoloration;Discoloration;Fusarium sp. screening
Elandshoogte Healthy;;Pinus;;Seedlings/Cuttings;D;N;;Well developed, Healthy;Healthy;Healthy;Discoloration, Alive;Fusarium sp. screening
Elandshoogte Healthy;;Pinus;;Seedlings/Cuttings;D;N;;Well developed, Healthy;Healthy;Healthy;Discoloration;Fusarium sp. screening
Elandshoogte diseased;;Pinus;;Seedlings/Cuttings;D;N;;Well developed;Discoloration, Cambium;Discoloration;Discoloration;Fusarium sp. screening
Elandshoogte diseased;;Pinus;;Seedlings/Cuttings;D;N;;Well developed;Discoloration;Discoloration;Discoloration;Fusarium sp. screening
Elandshoogte diseased;;Pinus;;Seedlings/Cuttings;D;N;;Well developed;Discoloration;Healthy;Alive;Fusarium sp. screening
Elandshoogte diseased;;Pinus;;Seedlings/Cuttings;D;N;;Few roots;Discoloration;Discoloration;Alive;Fusarium sp. screening
Elandshoogte diseased;;Pinus;;Seedlings/Cuttings;D;N;;Few roots;Discoloration;Discoloration;Alive;Fusarium sp. screening
Elandshoogte diseased;;Pinus;;Seedlings/Cuttings;D;N;;Well developed;Discoloration;Discoloration;Discoloration;Fusarium sp. screening
Elandshoogte diseased;;Pinus;;Seedlings/Cuttings;D;N;;Well developed;Discoloration;Discoloration;Discoloration;Fusarium sp. screening
Elandshoogte diseased;;Pinus;;Seedlings/Cuttings;D;N;;;Discoloration;Discoloration;Discoloration;Fusarium sp. screening
Elandshoogte diseased;;Pinus;;Seedlings/Cuttings;D;N;;;Discoloration;Discoloration;Discoloration;NO DISEASE REPORT
Elandshoogte diseased;;Pinus;;Seedlings/Cuttings;D;N;;;Discoloration;Healthy;Alive;NO DISEASE REPORT
Ezigro;;Pinus;;Seedlings/Cuttings;D;N;;Well developed;Healthy, Outer bark, Cambium, Between outer and inner bark, Sapwood;Healthy;Alive;Fusarium sp. screening
Ezigro;;Pinus;;Seedlings/Cuttings;D;N;;Well developed;Healthy, Outer bark, Cambium, Between outer and inner bark, Sapwood;Healthy;Alive;Fusarium sp. screening
Ezigro;;Pinus;;Seedlings/Cuttings;D;N;;Well developed, J-rooting;Healthy, Outer bark, Cambium, Between outer and inner bark, Sapwood;Healthy;Alive;Fusarium sp. screening
Ezigro;;Pinus;;Seedlings/Cuttings;D;N;;Well developed, Few roots;Healthy, Outer bark, Cambium, Between outer and inner bark, Sapwood, Discoloration;Healthy;Alive;Fusarium sp. screening
Ezigro;;Pinus;;Seedlings/Cuttings;D;N;;Well developed;Healthy, Outer bark, Cambium, Between outer and inner bark, Sapwood;Healthy;Alive;Fusarium sp. screening
Ezigro;;Pinus;;Seedlings/Cuttings;D;N;;Well developed;Healthy, Outer bark, Cambium, Between outer and inner bark, Sapwood, Discoloration;Healthy;Alive;Fusarium sp. screening
Ezigro;;Pinus;;Seedlings/Cuttings;D;N;;Well developed;Healthy, Outer bark, Cambium, Between outer and inner bark, Sapwood, Discoloration;Healthy;Alive;Fusarium sp. screening
Ezigro;;Pinus;;Seedlings/Cuttings;D;N;;Well developed;Healthy, Outer bark, Cambium, Between outer and inner bark, Sapwood;Healthy;Alive;Fusarium sp. screening
Ezigro;;Pinus;;Seedlings/Cuttings;D;N;;Well developed;Healthy, Outer bark, Cambium, Between outer and inner bark, Sapwood;Healthy;Alive;Fusarium sp. screening
Ezigro;;Pinus;;Seedlings/Cuttings;D;N;;Well developed;Healthy, Outer bark, Cambium, Between outer and inner bark, Sapwood;Healthy;Alive;Fusarium sp. screening
De Magtenburg;;Pinus;patula;Seedlings/Cuttings;D;N;;;Discoloration, Outer bark, Cambium, Between outer and inner bark, Sapwood;Discoloration, Outer bark, Cambium, Between outer and inner bark, Sapwood;;Fusarium sp. screening
De Magtenburg;;Pinus;patula;Seedlings/Cuttings;D;N;;Well developed, Healthy;Healthy;Healthy;;Fusarium sp. screening
De Magtenburg;;Pinus;patula;Seedlings/Cuttings;D;N;;;Discoloration, Outer bark, Cambium, Between outer and inner bark, Sapwood;;Alive;Fusarium sp. screening
;;Pinus;patula;Seedlings/Cuttings;A;N;;Well developed, Dead;Healthy;Healthy;Alive;Fusarium sp. screening
;;Pinus;patula;Seedlings/Cuttings;A;N;;Well developed, Dead;Healthy;Healthy;Alive;Fusarium sp. screening
;;Pinus;patula;Seedlings/Cuttings;A;N;;Well developed, Dead;Healthy;Healthy;Alive;Fusarium sp. screening
;;Pinus;patula;Seedlings/Cuttings;A;N;;Well developed, Dead;Healthy;Healthy;Alive;Fusarium sp. screening
Nogodwana;Mpumalanga;Pinus;elliottii;Seedlings/Cuttings;A;N;;Well developed, Dead;Healthy;Healthy;Alive;Fusarium sp. screening
Nogodwana;Mpumalanga;Pinus;elliottii;Seedlings/Cuttings;A;N;;Well developed, Healthy;Healthy;Healthy;Alive;Fusarium sp. screening
Nogodwana;Mpumalanga;Pinus;elliottii;Seedlings/Cuttings;A;N;;Well developed, J-rooting;Healthy;Healthy;Alive;Fusarium sp. screening
Nogodwana;Mpumalanga;Pinus;elliottii;Seedlings/Cuttings;A;N;Root:shoot ratio;Well developed, Dead;Healthy;Healthy;Alive;Fusarium sp. screening
Nogodwana;Mpumalanga;Pinus;elliottii;Seedlings/Cuttings;A;N;;Well developed;Healthy;Healthy;Alive;Fusarium sp. screening
Nogodwana;Mpumalanga;Pinus;elliottii;Seedlings/Cuttings;A;N;;Well developed;Healthy;Healthy;Alive;Fusarium sp. screening
Nogodwana;Mpumalanga;Pinus;elliottii;Seedlings/Cuttings;A;N;;Few roots, Dead;Discoloration, Between outer and inner bark;Healthy;Alive;Fusarium sp. screening
Nogodwana;Mpumalanga;Pinus;elliottii;Seedlings/Cuttings;A;N;;Well developed, Healthy;Healthy;Healthy;Alive;Fusarium sp. screening
Nogodwana;Mpumalanga;Pinus;elliottii;Seedlings/Cuttings;A;N;;Well developed, Healthy, J-rooting;Healthy;Healthy;Alive;Fusarium sp. screening
Nogodwana;Mpumalanga;Pinus;elliottii;Seedlings/Cuttings;A;N;;Well developed, Healthy;Healthy;Healthy;Alive;Fusarium sp. screening
Ntonjaneni? White River;Mpumalanga;Pinus;patula;Seedlings/Cuttings;D;N;;Well developed;Healthy;Healthy;Alive;Fusarium sp. screening
Ntonjaneni? White River;Mpumalanga;Pinus;patula;Seedlings/Cuttings;D;N;;Healthy, Few roots;Healthy;Healthy;Alive;Fusarium sp. screening
Ntonjaneni? White River;Mpumalanga;Pinus;patula;Seedlings/Cuttings;D;N;;Well developed;Healthy;Healthy;Alive;Fusarium sp. screening
Ntonjaneni? White River;Mpumalanga;Pinus;patula;Seedlings/Cuttings;D;N;;;Healthy;Healthy;Alive;Fusarium sp. screening
Ntonjaneni? White River;Mpumalanga;Pinus;patula;Seedlings/Cuttings;D;N;;Well developed;Discoloration, Outer bark, Cambium, Between outer and inner bark, Sapwood;Healthy;Alive;Fusarium sp. screening
Ntonjaneni? White River;Mpumalanga;Pinus;patula;Seedlings/Cuttings;D;N;;Well developed;Healthy;Healthy;Alive;Fusarium sp. screening
Kataza;;Eucalyptus;GN;Seedlings/Cuttings;D;N;;Well develoepd, Healthy;Healthy;Healthy;Wilted;Disease screening
Lothair;Mpumalanga;Eucalyptus;nitens;Seedlings/Cuttings;D;N;;;;;;Disease screening
Richards Bay;;Eucalyptus;GC514;Seedlings/Cuttings;D;N;;;;;;Pythium sp. and Phytophthora sp. screening
Newcastle;Kwazulu-Natal;Pinus;;Seedlings/Cuttings;D;N;;Well developed;Healthy;Healthy;Alive;Fusarium sp. screening
Newcastle;Kwazulu-Natal;Pinus;;Seedlings/Cuttings;D;N;;Well developed;Discoloration, Outer bark, Cambium, Between outer and inner bark;Healthy;Alive;Fusarium sp. screening
Newcastle;Kwazulu-Natal;Pinus;;Seedlings/Cuttings;D;N;;Well developed, Healthy;Healthy;Healthy;Alive;Fusarium sp. screening
Newcastle;Kwazulu-Natal;Pinus;;Seedlings/Cuttings;D;N;;Well developed, Healthy;Healthy;Healthy;Alive;Fusarium sp. screening
Newcastle;Kwazulu-Natal;Pinus;;Seedlings/Cuttings;D;N;;Well developed, Healthy;Healthy, Discoloration, Outer bark, Between outer and inner bark;Healthy;Alive;Fusarium sp. screening
Newcastle;Kwazulu-Natal;Pinus;;Seedlings/Cuttings;D;N;;Well developed;Discoloration, Outer bark, Cambium, Between outer and inner bark;Healthy;Alive;Fusarium sp. screening
Newcastle;Kwazulu-Natal;Pinus;;Seedlings/Cuttings;D;N;;Well developed;Discoloration, Outer bark, Cambium, Between outer and inner bark;Healthy;Alive;Fusarium sp. screening
Newcastle;Kwazulu-Natal;Pinus;;Seedlings/Cuttings;D;N;;Well developed;Healthy, Discoloration, Outer bark, Between outer and inner bark;Healthy;Alive;Fusarium sp. screening
Newcastle;Kwazulu-Natal;Pinus;;Seedlings/Cuttings;D;N;;Well developed, Healthy;Healthy;Healthy;Alive;Fusarium sp. screening
Newcastle;Kwazulu-Natal;Pinus;;Seedlings/Cuttings;D;N;;Well developed;Discoloration, Cambium, Between outer and inner bark;Healthy;Alive;Fusarium sp. screening
Newcastle;Kwazulu-Natal;Pinus;;Seedlings/Cuttings;D;N;;Well developed, Healthy;Healthy;Healthy;Alive;Fusarium sp. screening
Newcastle;Kwazulu-Natal;Pinus;;Seedlings/Cuttings;D;N;;Well developed, Healthy;Healthy;Healthy;Alive;Fusarium sp. screening
Newcastle;Kwazulu-Natal;Pinus;;Seedlings/Cuttings;D;N;;;Healthy;Healthy;Alive;Fusarium sp. screening
Newcastle;Kwazulu-Natal;Pinus;;Seedlings/Cuttings;D;N;;Well developed;Healthy;Healthy;Alive;Fusarium sp. screening
Newcastle;Kwazulu-Natal;Pinus;;Seedlings/Cuttings;D;N;;Well developed;Healthy;Healthy;Alive;Fusarium sp. screening
Newcastle;Kwazulu-Natal;Pinus;;Seedlings/Cuttings;D;N;;Well developed;Healthy;Healthy;;Fusarium sp. screening
Newcastle;Kwazulu-Natal;Pinus;;Seedlings/Cuttings;D;N;;Well developed, Dead;Healthy;Healthy;Alive;Fusarium sp. screening
Newcastle;Kwazulu-Natal;Pinus;;Seedlings/Cuttings;D;N;;Well developed, Dead;Healthy;Healthy;Alive;Fusarium sp. screening
Newcastle;Kwazulu-Natal;Pinus;;Seedlings/Cuttings;D;N;;Well developed;Healthy;Healthy;Alive;Fusarium sp. screening
Newcastle;Kwazulu-Natal;Pinus;;Seedlings/Cuttings;D;N;;Well developed, Few roots;Healthy;Healthy;Alive;Fusarium sp. screening
Richards Bay?;;Eucalyptus;GC514;Roots, Root Collars;D;F;;;;;;Pythium sp. and Phytophthora sp. screening
White River ;Mpumalanga;Pinus;patula;Seedlings/Cuttings;D;N;;Well developed, Healthy;Healthy;Healthy;Alive;Fusarium sp. screening
White River ;Mpumalanga;Pinus;patula;Seedlings/Cuttings;D;N;;Well developed, Healthy;Healthy;Healthy;Alive;Fusarium sp. screening
White River ;Mpumalanga;Pinus;patula;Seedlings/Cuttings;D;N;;Well developed, Healthy;Healthy;Healthy;Alive;Fusarium sp. screening
White River ;Mpumalanga;Pinus;patula;Seedlings/Cuttings;D;N;;Well developed, Healthy;Healthy;Healthy;Alive;Fusarium sp. screening
White River ;Mpumalanga;Pinus;patula;Seedlings/Cuttings;D;N;;Well developed, Healthy;Healthy;Healthy;Alive;Fusarium sp. screening
White River ;Mpumalanga;Pinus;patula;Seedlings/Cuttings;D;N;;Well developed, Healthy;Healthy;Healthy;Alive;Fusarium sp. screening
White River ;Mpumalanga;Pinus;patula;Seedlings/Cuttings;D;N;;Well developed, Healthy;Healthy;Healthy;Alive;Fusarium sp. screening
White River ;Mpumalanga;Pinus;patula;Seedlings/Cuttings;D;N;;Well developed, Healthy;Healthy;Healthy;Alive;Fusarium sp. screening
White River ;Mpumalanga;Pinus;patula;Seedlings/Cuttings;D;N;;Well developed, Healthy;Healthy;Healthy;Alive;Fusarium sp. screening
White River ;Mpumalanga;Pinus;patula;Seedlings/Cuttings;D;N;;Well developed, Healthy;Healthy;Healthy;Alive;Fusarium sp. screening
Howick;Kwazulu-Natal;Pinus;patula;Seedlings/Cuttings;D;N;Wilted;Well developed, Dead;Discoloration;Discoloration;Alive, Wilted;Fusarium sp. screening
Howick;Kwazulu-Natal;Pinus;patula;Seedlings/Cuttings;D;N;Wilted;Well developed, Dead;Discoloration;Discoloration;Alive, Wilted;Fusarium sp. screening
Howick;Kwazulu-Natal;Pinus;patula;Seedlings/Cuttings;D;N;Wilted;Well developed, Dead;Discoloration;Discoloration;Wilted, Dead;Fusarium sp. screening
Howick;Kwazulu-Natal;Pinus;patula;Seedlings/Cuttings;D;N;Wilted;Well developed, Dead;Discoloration;Discoloration;Alive, Wilted;Fusarium sp. screening
Howick;Kwazulu-Natal;Pinus;patula;Seedlings/Cuttings;D;N;Wilted;Well developed, Dead, J-rooting;Discoloration;Discoloration;Alive, Wilted;Fusarium sp. screening
Howick;Kwazulu-Natal;Pinus;patula;Seedlings/Cuttings;D;N;Wilted;Well developed, Dead;Discoloration;Discoloration;Alive, Wilted;Fusarium sp. screening
Howick;Kwazulu-Natal;Pinus;patula;Seedlings/Cuttings;D;N;Wilted;J-rooting, Few roots, Dead;Insect/Mechanical damage;Healthy;Wilted, Dead;Fusarium sp. screening
Howick;Kwazulu-Natal;Pinus;patula;Seedlings/Cuttings;D;N;Wilted;Well developed, Dead, J-rooting;Discoloration;Discoloration, Sapwood;Alive, Wilted;Fusarium sp. screening
Ngodwana;Mpumalanga;Pinus;patula;Seedlings/Cuttings;D;N;;Well developed, Healthy;Healthy;Healthy;Alive;Fusarium sp. screening
Ngodwana;Mpumalanga;Pinus;patula;Seedlings/Cuttings;D;N;;Healthy;Healthy;Healthy;Alive;Fusarium sp. screening
Ngodwana;Mpumalanga;Pinus;patula;Seedlings/Cuttings;D;N;;Well developed, Healthy;Healthy;Healthy;Alive;Fusarium sp. screening
Ngodwana;Mpumalanga;Pinus;patula;Seedlings/Cuttings;D;N;;Well developed, Healthy;Healthy;Healthy;Alive;Fusarium sp. screening
Ngodwana;Mpumalanga;Pinus;patula;Seedlings/Cuttings;D;N;;Well developed, Healthy;Healthy;Healthy;Alive;Fusarium sp. screening
Ngodwana;Mpumalanga;Pinus;patula;Seedlings/Cuttings;D;N;;Well developed, Healthy;Healthy;Healthy;Alive;Fusarium sp. screening
Ngodwana;Mpumalanga;Pinus;patula;Seedlings/Cuttings;D;N;;Well developed, Healthy;Healthy;Healthy;Alive;Fusarium sp. screening
Ngodwana;Mpumalanga;Pinus;patula;Seedlings/Cuttings;D;N;;Well developed, Healthy;Healthy;Healthy;Alive;Fusarium sp. screening
Ngodwana;Mpumalanga;Pinus;patula;Seedlings/Cuttings;D;N;;Well developed, Healthy;Healthy;Healthy;Alive;Fusarium sp. screening
Ngodwana;Mpumalanga;Pinus;patula;Seedlings/Cuttings;D;N;;Well developed, Healthy;Healthy;Healthy;Alive;Fusarium sp. screening
Ngodwana;Mpumalanga;Pinus;patula;Seedlings/Cuttings;D;N;;Well developed, Healthy;Healthy;Healthy;Alive;Fusarium sp. screening
Ngodwana;Mpumalanga;Pinus;patula;Seedlings/Cuttings;D;N;;Well developed, Healthy;Healthy;Healthy;Alive;Fusarium sp. screening
Ngodwana;Mpumalanga;Pinus;patula;Seedlings/Cuttings;D;N;;Well developed, Healthy;Healthy;Healthy;Alive;Fusarium sp. screening
Ngodwana;Mpumalanga;Pinus;patula;Seedlings/Cuttings;D;N;;Well developed, Healthy;Healthy;Healthy;Alive;Fusarium sp. screening
Ngodwana;Mpumalanga;Pinus;patula;Seedlings/Cuttings;D;N;;Well developed, Healthy;Healthy;Healthy;Alive;Fusarium sp. screening
Ngodwana;Mpumalanga;Pinus;patula;Seedlings/Cuttings;D;N;;Well developed;Healthy;Healthy;Alive;Fusarium sp. screening
Comrie;Mpumalanga;;;Soil;;N;;;;;;Fusarium sp. screening
Comrie;Mpumalanga;;;Soil;;N;;;;;;Fusarium sp. screening
Comrie;Mpumalanga;;;Soil;;N;;;;;;Fusarium sp. screening
Comrie;Mpumalanga;;;Soil;;N;;;;;;Fusarium sp. screening
Comrie;Mpumalanga;;;Soil;;N;;;;;;Fusarium sp. screening
Comrie;Mpumalanga;;;Soil;;N;;;;;;Fusarium sp. screening
Comrie;Mpumalanga;;;Soil;;N;;;;;;Fusarium sp. screening
Comrie;Mpumalanga;;;Soil;;N;;;;;;Fusarium sp. screening
Comrie;Mpumalanga;;;Soil;;N;;;;;;Fusarium sp. screening
Comrie;Mpumalanga;;;Soil;;N;;;;;;Fusarium sp. screening
Shafton;Mpumalanga;;;Soil;;N;;;;;;Fusarium sp. screening
Shafton;Mpumalanga;;;Soil;;N;;;;;;Fusarium sp. screening
Shafton;Mpumalanga;;;Soil;;N;;;;;;Fusarium sp. screening
Shafton;Mpumalanga;;;Soil;;N;;;;;;Fusarium sp. screening
Shafton;Mpumalanga;;;Soil;;N;;;;;;Fusarium sp. screening
Shafton;Mpumalanga;;;Soil;;N;;;;;;Fusarium sp. screening
Shafton;Mpumalanga;;;Soil;;N;;;;;;Fusarium sp. screening
Shafton;Mpumalanga;;;Soil;;N;;;;;;Fusarium sp. screening
Shafton;Mpumalanga;;;Soil;;N;;;;;;Fusarium sp. screening
Shafton;Mpumalanga;;;Soil;;N;;;;;;Fusarium sp. screening
Epson;Mpumalanga;;;Soil;;N;;;;;;Fusarium sp. screening
Epson;Mpumalanga;;;Soil;;N;;;;;;Fusarium sp. screening
Epson;Mpumalanga;;;Soil;;N;;;;;;Fusarium sp. screening
Epson;Mpumalanga;;;Soil;;N;;;;;;Fusarium sp. screening
Epson;Mpumalanga;;;Soil;;N;;;;;;Fusarium sp. screening
Epson;Mpumalanga;;;Soil;;N;;;;;;Fusarium sp. screening
Epson;Mpumalanga;;;Soil;;N;;;;;;Fusarium sp. screening
Epson;Mpumalanga;;;Soil;;N;;;;;;Fusarium sp. screening
Epson;Mpumalanga;;;Soil;;N;;;;;;Fusarium sp. screening
Epson;Mpumalanga;;;Soil;;N;;;;;;Fusarium sp. screening
Pinewood;Mpumalanga;;;Soil;;N;;;;;;Fusarium sp. screening
Pinewood;Mpumalanga;;;Soil;;N;;;;;;Fusarium sp. screening
Pinewood;Mpumalanga;;;Soil;;N;;;;;;Fusarium sp. screening
Pinewood;Mpumalanga;;;Soil;;N;;;;;;Fusarium sp. screening
Pinewood;Mpumalanga;;;Soil;;N;;;;;;Fusarium sp. screening
Pinewood;Mpumalanga;;;Soil;;N;;;;;;Fusarium sp. screening
Pinewood;Mpumalanga;;;Soil;;N;;;;;;Fusarium sp. screening
Pinewood;Mpumalanga;;;Soil;;N;;;;;;Fusarium sp. screening
Pinewood;Mpumalanga;;;Soil;;N;;;;;;Fusarium sp. screening
Pinewood;Mpumalanga;;;Soil;;N;;;;;;Fusarium sp. screening
Winterton;Mpumalanga;;;Soil;;N;;;;;;Fusarium sp. screening
Winterton;Mpumalanga;;;Soil;;N;;;;;;Fusarium sp. screening
Winterton;Mpumalanga;;;Soil;;N;;;;;;Fusarium sp. screening
Winterton;Mpumalanga;;;Soil;;N;;;;;;Fusarium sp. screening
Winterton;Mpumalanga;;;Soil;;N;;;;;;Fusarium sp. screening
Winterton;Mpumalanga;;;Soil;;N;;;;;;Fusarium sp. screening
Winterton;Mpumalanga;;;Soil;;N;;;;;;Fusarium sp. screening
Winterton;Mpumalanga;;;Soil;;N;;;;;;Fusarium sp. screening
Winterton;Mpumalanga;;;Soil;;N;;;;;;Fusarium sp. screening
Winterton;Mpumalanga;;;Soil;;N;;;;;;Fusarium sp. screening
Demach Holding;Mpumalanga;;;Soil;;N;;;;;;Fusarium sp. screening
Demach Holding;Mpumalanga;;;Soil;;N;;;;;;Fusarium sp. screening
Demach Holding;Mpumalanga;;;Soil;;N;;;;;;Fusarium sp. screening
