Location;Province;Genus;species.clone;type.of.sample;Asymptomatic.diseased;Nursery.Field;Roots;Root.Collar;Stem;Growth.tip;Needles.Leaves;results
Brakenhill;;Pinus;radiata;Seed;D;F;;;;Kino/Gum/Resin Exudation;;Fusarium screening
Brakenhill;;Pinus;radiata;Seed;D;F;;;;Kino/Gum/Resin Exudation;;Fusarium screening
Brakenhill;;Pinus;radiata;Seed;D;F;;;;Kino/Gum/Resin Exudation;;Fusarium screening
Brakenhill;;Pinus;radiata;Seed;D;F;;;;Kino/Gum/Resin Exudation;;Fusarium screening
Howick;Kwazulu-Natal;Pinus;;Seed/Cuttings;D;FNF;;Well developed;Discolorationn,Outer bark,Between outer and inner bark;;Alive;Fusarium screening
Howick;Kwazulu-Natal;Pinus;;Seed/Cuttings;D;FNF;;J-rooting;Health;Healthy;Discoloration;Fusarium screening
Howick;Kwazulu-Natal;Pinus;;Seed/Cuttings;D;FNF;Healthy;J-rooting;Discolorationn;Discoloration;Discoloration;Fusarium screening
Howick;Kwazulu-Natal;Pinus;;Seed/Cuttings;D;FNF;Root:shoot ratio;J-rooting,Few roots;Health;Healthy;Alive;Fusarium screening
Howick;Kwazulu-Natal;Pinus;;Seed/Cuttings;D;FNF;Healthy;J-rooting;Discolorationn;Discoloration;Wilted,Discoloration;Fusarium screening
Howick;Kwazulu-Natal;Pinus;;Seed/Cuttings;D;FNF;Healthy;J-rooting;Discolorationn;Discoloration;;Fusarium screening
Howick;Kwazulu-Natal;Pinus;;Seed/Cuttings;D;FNF;;Well developed;Discolorationn,Outer bark;Healthy;Alive;Fusarium screening
Howick;Kwazulu-Natal;Pinus;;Seed/Cuttings;D;FNF;;Well developed;Discolorationn,Outer bark;Healthy;Alive;Fusarium screening
Howick;Kwazulu-Natal;Pinus;;Seed/Cuttings;D;FNF;;J-rooting;Health;Healthy;Alive;Fusarium screening
Howick;Kwazulu-Natal;Pinus;;Seed/Cuttings;D;FNF;Healthy;J-rooting;Discolorationn;Discoloration;Alive,Wilted;Fusarium screening
Howick;Kwazulu-Natal;Pinus;;Seed/Cuttings;D;FNF;;Few roots;Discolorationn,Outer bark,Between outer and inner bark;Discoloration,Outer bark, Between outer and inner bark;;Fusarium screening
Howick;Kwazulu-Natal;Pinus;;Seed/Cuttings;D;FNF;;Few roots;Discolorationn,Outer bark,Between outer and inner bark;Discoloration,Outer bark,Cambium, Between outer and inner bark;;Fusarium screening
Howick;Kwazulu-Natal;Pinus;;Seed/Cuttings;D;FNF;Healthy;J-rooting;Discolorationn;Discoloration;Wilted;Fusarium screening
Howick;Kwazulu-Natal;Pinus;;Seed/Cuttings;D;FNF;;Well developed,Dead;Discolorationn,Outer bark,Between outer and inner bark;;;Fusarium screening
Howick;Kwazulu-Natal;Pinus;;Seed/Cuttings;D;FNF;;Few roots;Discolorationn,Outer bark,Between outer and inner bark;Discoloration,Outer bark, Between outer and inner bark;Alive;Fusarium screening
Howick;Kwazulu-Natal;Pinus;;Seed/Cuttings;D;FNF;Healthy;J-rooting;Discolorationn;Healthy;Wilted,Discoloration;Fusarium screening
Howick;Kwazulu-Natal;Pinus;;Seed/Cuttings;D;FNF;;Well developed,Dead;Discolorationn,Outer bark,Cambium,Between outer and inner bark;Discoloration,Outer bark, Between outer and inner bark;Wilted;Fusarium screening
Howick;Kwazulu-Natal;Pinus;;Seed/Cuttings;D;FNF;;J-rooting;Discolorationn, Health;Healthy;Alive,Scorch;Fusarium screening
Hindenberg Farm;;Pinus;elliotti;foliage;D;FNF;;;;Discoloration;Discoloration;Fusarium screening
Hindenberg Farm;;Pinus;elliotti;foliage;D;FNF;;;;Healthy;Alive;Fusarium screening
Hindenberg Farm;;Pinus;elliotti;foliage;D;FNF;;;;Discoloration;Scorch,Discoloration;Fusarium screening
Hindenberg Farm;;Pinus;elliotti;roots;D;FNF;;Few roots,J-rooting;Discolorationn,Outer bark,Between outer and inner bark;;;Fusarium screening
Hindenberg Farm;;Pinus;elliotti;roots;D;FNF;;Few roots,J-rooting;Discolorationn,Outer bark,Between outer and inner bark;;;Fusarium screening
Hindenberg Farm;;Pinus;elliotti;roots;D;FNF;;Few roots,J-rooting;Discolorationn,Outer bark,Between outer and inner bark;;;Fusarium screening
Hindenberg Farm;;Pinus;elliotti;Soil;;FNF;;;;;;Fusarium screening
Hindenberg Farm;;Pinus;elliotti;Soil;;FNF;;;;;;Fusarium screening
Hindenberg Farm;;Pinus;elliotti;Soil;;FNF;;;;;;Fusarium screening
Hindenberg Farm;;Pinus;elliotti;Soil;;FNF;;;;;;Fusarium screening
Hindenberg Farm;;Pinus;elliotti;Soil;;FNF;;;;;;Fusarium screening
Hindenberg Farm;;Pinus;elliotti;Soil;;FNF;;;;;;Fusarium screening
Hindenberg Farm;;Pinus;elliotti;Soil;;FNF;;;;;;Fusarium screening
Hindenberg Farm;;Pinus;elliotti;Soil;;FNF;;;;;;Fusarium screening
Hindenberg Farm;;Pinus;elliotti;Soil;;FNF;;;;;;Fusarium screening
Hindenberg Farm;;Pinus;elliotti;Soil;;FNF;;;;;;Fusarium screening
Ixopo;Kwazulu-Natal;Pinus;patula;Seed/Cuttings;A;FNF;Healthy;Well developed,Healthyy;Health;Healthy;Alive;Fusarium screening
Ixopo;Kwazulu-Natal;Pinus;patula;Seed/Cuttings;A;FNF;Healthy;Well developed,Healthyy;Health;Healthy;Alive;Fusarium screening
Ixopo;Kwazulu-Natal;Pinus;patula;Seed/Cuttings;A;FNF;Healthy;Well developed,Healthyy;Health;Healthy;Alive;Fusarium screening
Ixopo;Kwazulu-Natal;Pinus;patula;Seed/Cuttings;A;FNF;Healthy;Well developed,Healthyy;Health;Healthy;Alive;Fusarium screening
Ixopo;Kwazulu-Natal;Pinus;patula;Seed/Cuttings;A;FNF;Healthy;Healthyy;Health;Healthy;Alive;Fusarium screening
Ixopo;Kwazulu-Natal;Pinus;patula;Seed/Cuttings;A;FNF;Healthy;Healthyy;Health;Healthy;Alive;Fusarium screening
Ixopo;Kwazulu-Natal;Pinus;patula;Seed/Cuttings;A;FNF;Healthy;Healthyy,Few roots;Health;Healthy;Alive;Fusarium screening
Ixopo;Kwazulu-Natal;Pinus;patula;Seed/Cuttings;A;FNF;Healthy;Healthyy;Health;Healthy;Alive;Fusarium screening
Ixopo;Kwazulu-Natal;Pinus;patula;Seed/Cuttings;A;FNF;Healthy;Healthyy;Health;Healthy;Alive;Fusarium screening
Ixopo;Kwazulu-Natal;Pinus;patula;Seed/Cuttings;A;FNF;Healthy;Healthyy;Health;Healthy;Alive;Fusarium screening
Ixopo;Kwazulu-Natal;Pinus;patula;Seed/Cuttings;A;FNF;Healthy;Healthyy;Health;Healthy;Alive;Fusarium screening
Ixopo;Kwazulu-Natal;Pinus;patula;Seed/Cuttings;A;FNF;Healthy;Healthyy;Health;Healthy;Alive;Fusarium screening
Ixopo;Kwazulu-Natal;Pinus;patula;Seed/Cuttings;A;FNF;Healthy;Healthyy;Health;Healthy;Alive;Fusarium screening
Ixopo;Kwazulu-Natal;Pinus;patula;Seed/Cuttings;A;FNF;Healthy;Healthyy;Health;Healthy;Alive;Fusarium screening
Ixopo;Kwazulu-Natal;Pinus;patula;Seed/Cuttings;A;FNF;Healthy;Healthyy;Health;Healthy;Alive;Fusarium screening
Ixopo;Kwazulu-Natal;Pinus;patula;Seed/Cuttings;A;FNF;Healthy;Healthyy;Health;Healthy;Alive;Fusarium screening
Ixopo;Kwazulu-Natal;Pinus;patula;Seed/Cuttings;A;FNF;Healthy;Healthyy;Health;Healthy;Alive;Fusarium screening
Ixopo;Kwazulu-Natal;Pinus;patula;Seed/Cuttings;A;FNF;Healthy;Healthyy;Health;Healthy;Alive;Fusarium screening
Ixopo;Kwazulu-Natal;Pinus;elliotti;Seed/Cuttings;A;FNF;Healthy;Well developed,Healthyy;Health;Healthy;Alive;Fusarium screening
Ixopo;Kwazulu-Natal;Pinus;elliotti;Seed/Cuttings;A;FNF;Healthy;Well developed,Healthyy;Health;Healthy;Alive;Fusarium screening
Ixopo;Kwazulu-Natal;Pinus;elliotti;Seed/Cuttings;A;FNF;Healthy;Well developed,Healthyy;Health;Healthy;Alive;Fusarium screening
Ixopo;Kwazulu-Natal;Pinus;elliotti;Seed/Cuttings;A;FNF;Healthy;Well developed,Healthyy;Health;Healthy;Alive;Fusarium screening
Ixopo;Kwazulu-Natal;Pinus;elliotti;Seed/Cuttings;A;FNF;Healthy;Well developed,Healthyy;Health;Healthy;Alive;Fusarium screening
Ixopo;Kwazulu-Natal;Pinus;elliotti;Seed/Cuttings;A;FNF;;Well developed,Healthyy;Health;Healthy;Alive;Fusarium screening
Ixopo;Kwazulu-Natal;Pinus;elliotti;Seed/Cuttings;A;FNF;;Well developed,Healthyy;Health;Healthy;Alive;Fusarium screening
Ixopo;Kwazulu-Natal;Pinus;elliotti;Seed/Cuttings;A;FNF;;Well developed,Healthyy;Health;Healthy;Alive;Fusarium screening
Ixopo;Kwazulu-Natal;Pinus;elliotti;Seed/Cuttings;A;FNF;;Well developed,Healthyy;Health;Healthy;Alive;Fusarium screening
Ixopo;Kwazulu-Natal;Pinus;elliotti;Seed/Cuttings;A;FNF;;Well developed,Healthyy;Health;Healthy;Alive;Fusarium screening
Ixopo;Kwazulu-Natal;Pinus;elliotti;Seed/Cuttings;A;FNF;Healthy;Well developed,Healthyy;Health;Healthy;Alive;Fusarium screening
Ixopo;Kwazulu-Natal;Pinus;elliotti;Seed/Cuttings;A;FNF;Healthy;Well developed,Healthyy;Health;Healthy;Alive;Fusarium screening
Ixopo;Kwazulu-Natal;Pinus;elliotti;Seed/Cuttings;A;FNF;Healthy;Well developed,Healthyy;Health;Healthy;Alive;Fusarium screening
Ixopo;Kwazulu-Natal;Pinus;elliotti;Seed/Cuttings;A;FNF;Healthy;Well developed,Healthyy;Health;Healthy;Alive;Fusarium screening
Ixopo;Kwazulu-Natal;Pinus;elliotti;Seed/Cuttings;A;FNF;Healthy;Well developed,Healthyy;Health;Healthy;Alive;Fusarium screening
Ixopo;Kwazulu-Natal;Pinus;elliotti;Seed/Cuttings;A;FNF;;;;;Alive;Fusarium screening
Ixopo;Kwazulu-Natal;Pinus;elliotti;Seed/Cuttings;A;FNF;;;;;Alive;Fusarium screening
Ixopo;Kwazulu-Natal;Pinus;elliotti;Seed/Cuttings;A;FNF;;;;;Alive;Fusarium screening
Ixopo;Kwazulu-Natal;Pinus;elliotti;Seed/Cuttings;A;FNF;;;;;Alive;Fusarium screening
Ixopo;Kwazulu-Natal;Pinus;elliotti;Seed/Cuttings;A;FNF;;;;;Alive;Fusarium screening
NA;Mpumalanga;Pinus;patula;Seed/Cuttings;D;FNF;;Well developed,Healthyy;Health;Healthy;Alive;Fusarium screening
NA;Mpumalanga;Pinus;patula;Seed/Cuttings;D;FNF;Root:shoot ratio;Healthyy,Few roots;Health;Healthy;Alive;Fusarium screening
NA;Mpumalanga;Pinus;patula;Seed/Cuttings;D;FNF;Root:shoot ratio;Few roots;Health;Healthy;Alive;Fusarium screening
NA;Mpumalanga;Pinus;patula;Seed/Cuttings;D;FNF;;Well developed,Healthyy;Health;Healthy;Alive;Fusarium screening
NA;Mpumalanga;Pinus;patula;Seed/Cuttings;D;FNF;;Well developed,Healthyy;Health;Healthy;Alive;Fusarium screening
NA;Mpumalanga;Pinus;patula;Seed/Cuttings;D;FNF;Healthy;Well developed,Healthyy;Health;Healthy;Alive;Fusarium screening
NA;Mpumalanga;Pinus;patula;Seed/Cuttings;D;FNF;Healthy;Well developed,Healthyy;Health;Healthy;Alive;Fusarium screening
NA;Mpumalanga;Pinus;patula;Seed/Cuttings;D;FNF;Healthy;Well developed,Healthyy;Health;Healthy;Alive;Fusarium screening
NA;Mpumalanga;Pinus;patula;Seed/Cuttings;D;FNF;Healthy;Well developed,Healthyy;Health;Healthy;Alive;Fusarium screening
NA;Mpumalanga;Pinus;patula;Seed/Cuttings;D;FNF;;Well developed,Healthyy;Health;Healthy;Alive;Fusarium screening
NA;Mpumalanga;Pinus;patula;Seed/Cuttings;D;FNF;;Well developed,Healthyy;Health;Healthy;Alive;Fusarium screening
NA;Mpumalanga;Pinus;patula;Seed/Cuttings;D;FNF;;Well developed,Healthyy;Health;Healthy;Alive;Fusarium screening
NA;Mpumalanga;Pinus;patula;Seed/Cuttings;D;FNF;;Well developed,Healthyy;Health;Healthy;Alive;Fusarium screening
NA;Mpumalanga;Pinus;patula;Soil;;FNF;;;;;;Fusarium screening
NA;Mpumalanga;Pinus;patula;Soil;;FNF;;;;;;Fusarium screening
NA;Mpumalanga;Pinus;patula;Soil;;FNF;;;;;;Fusarium screening
NA;Mpumalanga;Pinus;patula;Soil;;FNF;;;;;;Fusarium screening
NA;Mpumalanga;Pinus;patula;Soil;;FNF;;;;;;Fusarium screening
NA;Mpumalanga;Pinus;patula;Soil;;FNF;;;;;;Fusarium screening
NA;Mpumalanga;Pinus;patula;Soil;;FNF;;;;;;Fusarium screening
NA;Mpumalanga;Pinus;patula;Soil;;FNF;;;;;;Fusarium screening
NA;Mpumalanga;Pinus;patula;Soil;;FNF;;;;;;Fusarium screening
NA;Mpumalanga;Pinus;patula;Soil;;FNF;;;;;;Fusarium screening
Lothair;Mpumalanga;Pinus;patula;Seed/Cuttings;;FNF;Root:shoot ratio;J-rooting;Health;Healthy;Alive;Fusarium screening
Lothair;Mpumalanga;Pinus;patula;Seed;;FNF;;;;Kino/Gum/Resin Exudation, Discoloration,Outer bark, Between outer and inner bark;;Fusarium screening
Lothair;Mpumalanga;Pinus;patula;Seed;;FNF;;;;Kino/Gum/Resin Exudation, Discoloration,Outer bark, Between outer and inner bark;;Fusarium screening
Lothair;Mpumalanga;Pinus;patula;Seed;;FNF;;;;Kino/Gum/Resin Exudation, Discoloration,Outer bark, Between outer and inner bark;;Fusarium screening
Lothair;Mpumalanga;Pinus;patula;Seed;;FNF;;;;Kino/Gum/Resin Exudation, Discoloration,Outer bark, Between outer and inner bark;;Fusarium screening
Lothair;Mpumalanga;Eucalyptu;nitens;Seed;;FNF;;;;Discoloration,Outer bark,Cambium,Swelling, Between outer and inner bark;;Fusarium screening
Lothair;Mpumalanga;Eucalyptu;nitens;Seed;;FNF;;;;Discoloration,Outer bark,Cambium,Swelling, Between outer and inner bark;;Fusarium screening
Lothair;Mpumalanga;Eucalyptu;nitens;Seed;;FNF;;;;Discoloration,Outer bark,Cambium,Swelling, Between outer and inner bark;;Fusarium screening
Lothair;Mpumalanga;Eucalyptu;nitens;Seed;;FNF;;;;Discoloration,Outer bark,Cambium,Swelling, Between outer and inner bark;;Fusarium screening
Lothair;Mpumalanga;Eucalyptu;nitens;Seed;;FNF;;;;;;Fusarium screening
Lothair;Mpumalanga;Eucalyptu;nitens;Seed;;FNF;;;;;;Fusarium screening
NA;Mpumalanga;;;Soil;;FNF;;;;;;Fusarium screening
NA;Mpumalanga;;;Soil;;FNF;;;;;;Fusarium screening
NA;Mpumalanga;;;Soil;;FNF;;;;;;Fusarium screening
NA;Mpumalanga;;;Soil;;FNF;;;;;;Fusarium screening
NA;Mpumalanga;;;Soil;;FNF;;;;;;Fusarium screening
NA;Mpumalanga;;;Soil;;FNF;;;;;;Fusarium screening
NA;Mpumalanga;;;Soil;;FNF;;;;;;Fusarium screening
NA;Mpumalanga;;;Soil;;FNF;;;;;;Fusarium screening
NA;Mpumalanga;;;Soil;;FNF;;;;;;Fusarium screening
NA;Mpumalanga;;;Soil;;FNF;;;;;;Fusarium screening
NA;Mpumalanga;;;Soil;;FNF;;;;;;Fusarium screening
NA;Mpumalanga;;;Soil;;FNF;;;;;;Fusarium screening
NA;Mpumalanga;;;Soil;;FNF;;;;;;Fusarium screening
NA;Mpumalanga;;;Soil;;FNF;;;;;;Fusarium screening
NA;Mpumalanga;;;Soil;;FNF;;;;;;Fusarium screening
NA;Mpumalanga;;;Soil;;FNF;;;;;;Fusarium screening
NA;Mpumalanga;;;Soil;;FNF;;;;;;Fusarium screening
NA;Mpumalanga;;;Soil;;FNF;;;;;;Fusarium screening
NA;Mpumalanga;;;Soil;;FNF;;;;;;Fusarium screening
NA;Mpumalanga;;;Soil;;FNF;;;;;;Fusarium screening
NA;Mpumalanga;;;Soil;;FNF;;;;;;Fusarium screening
NA;Mpumalanga;;;Soil;;FNF;;;;;;Fusarium screening
NA;Mpumalanga;;;Soil;;FNF;;;;;;Fusarium screening
NA;Mpumalanga;;;Soil;;FNF;;;;;;Fusarium screening
NA;Mpumalanga;;;Soil;;FNF;;;;;;Fusarium screening
Ngodwana;Mpumalanga;;;Soil;;FNF;;;;;;Fusarium screening
Ngodwana;Mpumalanga;;;Soil;;FNF;;;;;;Fusarium screening
Ngodwana;Mpumalanga;;;Soil;;FNF;;;;;;Fusarium screening
Ngodwana;Mpumalanga;;;Soil;;FNF;;;;;;Fusarium screening
Ngodwana;Mpumalanga;;;Soil;;FNF;;;;;;Fusarium screening
Ngodwana;Mpumalanga;;;Soil;;FNF;;;;;;Fusarium screening
Ngodwana;Mpumalanga;;;Soil;;FNF;;;;;;Fusarium screening
Ngodwana;Mpumalanga;;;Soil;;FNF;;;;;;Fusarium screening
Ngodwana;Mpumalanga;;;Soil;;FNF;;;;;;Fusarium screening
Ngodwana;Mpumalanga;;;Soil;;FNF;;;;;;Fusarium screening
Ngodwana;Mpumalanga;;;Soil;;FNF;;;;;;Fusarium screening
Ngodwana;Mpumalanga;;;Soil;;FNF;;;;;;Fusarium screening
Ngodwana;Mpumalanga;;;Soil;;FNF;;;;;;Fusarium screening
Ngodwana;Mpumalanga;;;Soil;;FNF;;;;;;Fusarium screening
Ngodwana;Mpumalanga;;;Soil;;FNF;;;;;;Fusarium screening
Ngodwana;Mpumalanga;;;Soil;;FNF;;;;;;Fusarium screening
Ngodwana;Mpumalanga;;;Soil;;FNF;;;;;;Fusarium screening
Ngodwana;Mpumalanga;;;Soil;;FNF;;;;;;Fusarium screening
Ngodwana;Mpumalanga;;;Soil;;FNF;;;;;;Fusarium screening
Ngodwana;Mpumalanga;;;Soil;;FNF;;;;;;Fusarium screening
Ngodwana;Mpumalanga;;;Soil;;FNF;;;;;;Fusarium screening
Ngodwana;Mpumalanga;;;Soil;;FNF;;;;;;Fusarium screening
Ngodwana;Mpumalanga;;;Soil;;FNF;;;;;;Fusarium screening
Ngodwana;Mpumalanga;;;Soil;;FNF;;;;;;Fusarium screening
Ngodwana;Mpumalanga;;;Soil;;FNF;;;;;;Fusarium screening
Ngodwana;Mpumalanga;;;Soil;;FNF;;;;;;Fusarium screening
Ngodwana;Mpumalanga;;;Soil;;FNF;;;;;;Fusarium screening
Ngodwana;Mpumalanga;;;Soil;;FNF;;;;;;Fusarium screening
Ngodwana;Mpumalanga;;;Soil;;FNF;;;;;;Fusarium screening
Ngodwana;Mpumalanga;;;Soil;;FNF;;;;;;Fusarium screening
Ngodwana;Mpumalanga;;;Soil;;FNF;;;;;;Fusarium screening
Ngodwana;Mpumalanga;;;Soil;;FNF;;;;;;Fusarium screening
Ngodwana;Mpumalanga;;;Soil;;FNF;;;;;;Fusarium screening
Ngodwana;Mpumalanga;;;Soil;;FNF;;;;;;Fusarium screening
Ngodwana;Mpumalanga;;;Soil;;FNF;;;;;;Fusarium screening
Ngodwana;Mpumalanga;;;Soil;;FNF;;;;;;Fusarium screening
Ngodwana;Mpumalanga;;;Soil;;FNF;;;;;;Fusarium screening
Ngodwana;Mpumalanga;;;Soil;;FNF;;;;;;Fusarium screening
Ngodwana;Mpumalanga;;;Soil;;FNF;;;;;;Fusarium screening
Ngodwana;Mpumalanga;;;Soil;;FNF;;;;;;Fusarium screening
Ngodwana;Mpumalanga;;;Soil;;FNF;;;;;;Fusarium screening
Ngodwana;Mpumalanga;;;Soil;;FNF;;;;;;Fusarium screening
Ngodwana;Mpumalanga;;;Soil;;FNF;;;;;;Fusarium screening
Ngodwana;Mpumalanga;;;Soil;;FNF;;;;;;Fusarium screening
Ngodwana;Mpumalanga;;;Soil;;FNF;;;;;;Fusarium screening
Ngodwana;Mpumalanga;;;Soil;;FNF;;;;;;Fusarium screening
Ngodwana;Mpumalanga;;;Soil;;FNF;;;;;;Fusarium screening
Ngodwana;Mpumalanga;;;Soil;;FNF;;;;;;Fusarium screening
Ngodwana;Mpumalanga;;;Soil;;FNF;;;;;;Fusarium screening
Ngodwana;Mpumalanga;;;Soil;;FNF;;;;;;Fusarium screening
Ngodwana;Mpumalanga;;;Soil;;FNF;;;;;;Fusarium screening
Ngodwana;Mpumalanga;;;Soil;;FNF;;;;;;Fusarium screening
Ngodwana;Mpumalanga;;;Soil;;FNF;;;;;;Fusarium screening
Ngodwana;Mpumalanga;;;Soil;;FNF;;;;;;Fusarium screening
Ngodwana;Mpumalanga;;;Soil;;FNF;;;;;;Fusarium screening
Ngodwana;Mpumalanga;;;Soil;;FNF;;;;;;Fusarium screening
Ngodwana;Mpumalanga;;;Soil;;FNF;;;;;;Fusarium screening
Ngodwana;Mpumalanga;;;Soil;;FNF;;;;;;Fusarium screening
Ngodwana;Mpumalanga;;;Soil;;FNF;;;;;;Fusarium screening
Ngodwana;Mpumalanga;;;Soil;;FNF;;;;;;Fusarium screening
Ngodwana;Mpumalanga;;;Soil;;FNF;;;;;;Fusarium screening
Ngodwana;Mpumalanga;;;Soil;;FNF;;;;;;Fusarium screening
;Kwazulu-Natal;Pinus;patulax oocarpa;Seed/Cuttings;D;FNF;Healthy;Well developed,J-rooting;Discolorationn;Discoloration;Wilted;Fusarium screening
;Kwazulu-Natal;Pinus;patula;Seed/Cuttings;D;FNF;;Well developed;Discolorationn,Outer bark,Cambium;Healthy;Alive;Fusarium screening
;Kwazulu-Natal;Pinus;patulax tecunumanii;Seed/Cuttings;D;FNF;Healthy;Well developed,Dead;Discolorationn,Outer bark;Discoloration,Outer bark;Alive,Wilted,Dead;Fusarium screening
;Kwazulu-Natal;Pinus;patulax tecunumanii;Seed/Cuttings;D;FNF;;Well developed,J-rooting;Discolorationn,Outer bark;Discoloration,Outer bark;Alive;Fusarium screening
;Kwazulu-Natal;Pinus;patulax tecunumanii;Seed/Cuttings;D;FNF;Root:shoot ratio, Healthy;J-rooting,Few roots,Dead;Discolorationn,Outer bark,Between outer and inner bark;Discoloration,Outer bark, Between outer and inner bark;Wilted,Dead;Fusarium screening
;Kwazulu-Natal;Pinus;patula;Seed/Cuttings;D;FNF;Root:shoot ratio, Healthy;Few roots,Dead;Discolorationn,Outer bark,Cambium;Discoloration,Outer bark,Cambium;Wilted,Dead;Fusarium screening
;Kwazulu-Natal;Pinus;patula;Seed/Cuttings;D;FNF;Healthy;J-rooting;Discolorationn;Discoloration;Alive,Wilted,Dead;Fusarium screening
;Kwazulu-Natal;Pinus;patulax tecunumanii;Seed/Cuttings;D;FNF;Healthy;J-rooting;Discolorationn;Discoloration;Wilted;Fusarium screening
;Kwazulu-Natal;Pinus;patula;Seed/Cuttings;D;FNF;Healthy;;Discolorationn;Discoloration;Wilted;Fusarium screening
;Kwazulu-Natal;Pinus;patulax tecunumanii;Seed/Cuttings;D;FNF;;Few roots,Dead;Discolorationn,Outer bark,Between outer and inner bark;Healthy;Alive;Fusarium screening
;Kwazulu-Natal;Pinus;patulax tecunumanii;Seed/Cuttings;D;FNF;Healthy;Well developed,J-rooting,Dead;Health;Discoloration,Outer bark;Wilted;Fusarium screening
;Kwazulu-Natal;Pinus;patula;Seed/Cuttings;D;FNF;;J-rooting;Discolorationn;Discoloration;Alive;Fusarium screening
;Kwazulu-Natal;Pinus;patula;Seed/Cuttings;D;FNF;;Few roots;Discolorationn,Outer bark,Cambium;Discoloration,Outer bark,Cambium, Between outer and inner bark,Sapwood;Alive;Fusarium screening
Kwambonambi;Kwazulu-Natal;Eucalyptu;;Seed/Cuttings;D;FNF;;Well developed;Discolorationn,Cambium;Discoloration,Cambium;;NA
Kwambonambi;Kwazulu-Natal;Eucalyptu;;Seed/Cuttings;D;FNF;;Few roots;Outer bark;Discoloration,Outer bark;Scorch;NA
Kwambonambi;Kwazulu-Natal;Eucalyptu;;Seed/Cuttings;D;FNF;;;;Healthy;;NA
Hindenberg Farms;;Pinus;elliotti;Seed/Cuttings;D;FNF;;Few roots,J-rooting;Discolorationn,Outer bark,Cambium;Mechanical damage;;Fusarium screening
Hindenberg Farms;;Pinus;elliotti;Seed/Cuttings;D;FNF;;Few roots,J-rooting;Health,Outer bark,Cambium;Healthy;Alive;Fusarium screening
Hindenberg Farms;;Pinus;elliotti;Seed/Cuttings;D;FNF;;Few roots,J-rooting;Health,Outer bark,Cambium;Discoloration,Outer bark, Between outer and inner bark;;Fusarium screening
Hindenberg Farms;;Pinus;elliotti;Seed/Cuttings;D;FNF;;Few roots,J-rooting;Health,Outer bark,Cambium;Cambium, Between outer and inner bark;Alive;Fusarium screening
Good Hope;;Pinus;patula;Seed;D;F;;;;;;Fusarium screening
Good Hope;;Pinus;patula;Seed;D;F;;;;;;Fusarium screening
Yorkville;;Pinus;patula;Seed;D;F;;;;Discoloration;;Fusarium screening
Yorkville;;Pinus;patula;Seed;D;F;;;;Discoloration;;Fusarium screening
Howick;Kwazulu-Natal;Pinus;;Seed/Cuttings;D;FNF;;Well developed;Discolorationn,Outer bark,Cambium;Healthy;Alive;Fusarium screening
Howick;Kwazulu-Natal;Pinus;;Seed/Cuttings;D;FNF;Healthy;J-rooting;Discolorationn;Discoloration;Wilted;Fusarium screening
Howick;Kwazulu-Natal;Pinus;;Seed/Cuttings;D;FNF;;Well developed,J-rooting;Health;Healthy;Alive;Fusarium screening
Howick;Kwazulu-Natal;Pinus;;Seed/Cuttings;D;FNF;;J-rooting;Discolorationn;Discoloration;Alive;Fusarium screening
Howick;Kwazulu-Natal;Pinus;;Seed/Cuttings;D;FNF;;Well developed,J-rooting;Health;Healthy;Alive;Fusarium screening
Howick;Kwazulu-Natal;Pinus;;Seed/Cuttings;D;FNF;Healthy;J-rooting;Discolorationn;Mechanical damage,Discoloration;Alive;Fusarium screening
Howick;Kwazulu-Natal;Pinus;;Seed/Cuttings;D;FNF;;Well developed,J-rooting;Discolorationn,Outer bark,Cambium;Healthy;Alive;Fusarium screening
Howick;Kwazulu-Natal;Pinus;;Seed/Cuttings;D;FNF;;J-rooting;Health;Discoloration;Wilted;Fusarium screening
Howick;Kwazulu-Natal;Pinus;;Seed/Cuttings;D;FNF;;J-rooting;Discolorationn;Discoloration;Alive;Fusarium screening
Howick;Kwazulu-Natal;Pinus;;Seed/Cuttings;D;FNF;;Well developed,J-rooting;Discolorationn,Outer bark,Cambium,Between outer and inner bark;Discoloration,Outer bark, Between outer and inner bark;Alive;Fusarium screening
Howick;Kwazulu-Natal;Pinus;;Seed/Cuttings;D;FNF;Healthy;;Discolorationn;Discoloration;;Fusarium screening
Howick;Kwazulu-Natal;Pinus;;Seed/Cuttings;D;FNF;;Well developed;Discolorationn,Outer bark,Cambium,Between outer and inner bark;Discoloration,Outer bark, Between outer and inner bark;;Fusarium screening
Scottsville;Western Cape;Eucalyptu;;Seed/Cuttings;D;FNF;Healthy,Drycorch;Well developed,Healthyy;Discolorationn;;Wilted,Alive,Scorch;Fusarium screening
Scottsville;Western Cape;Pinus;patula;Seed/Cuttings;D;FNF;Healthy;Well developed,Healthyy;Health;Healthy;Alive;Fusarium screening
Scottsville;Western Cape;Pinus;patula;Seed/Cuttings;D;FNF;Healthy;Well developed,Healthyy;Health;Healthy;Alive;Fusarium screening
Scottsville;Western Cape;Pinus;patula;Seed/Cuttings;D;FNF;Healthy;Well developed,Healthyy;Health;Healthy;Alive;Fusarium screening
Scottsville;Western Cape;Pinus;patula;Seed/Cuttings;D;FNF;Healthy;Well developed,Healthyy;Health;Healthy;Alive;Fusarium screening
